time,temperature_2m,snowfall_sum,skin_reservoir_content,surface_latent_heat_flux_sum,surface_net_solar_radiation_sum,total_evaporation_sum,runoff_sum,u_component_of_wind_10m,v_component_of_wind_10m,surface_pressure,leaf_area_index_high_vegetation,total_precipitation_sum,ssta
195002,267.1945235,0.009720562,1.8e-06,-18342019.08,268449007.1,-0.006745398,0.001062321,1.00720565,-0.185885846,88003.84459,0.653089458,0.010058188,-1.6816666666666684
195003,275.55855,0.000628363,1.42e-05,-43941595.76,424879265.6,-0.017538459,0.000925263,1.00045669,0.05025132,87652.20081,0.656374316,0.009923445,-1.3646666666666647
195004,282.1603283,0.000179411,2.38e-05,-94257738.54,480409088.2,-0.037684069,0.001139515,1.279736754,0.448676326,87312.49163,0.662611706,0.03430623,-1.429666666666666
195005,288.2029015,0.000235944,2.09e-05,-135143302.6,585048569.5,-0.054036919,0.001253517,0.861922706,0.144574629,87191.73811,0.679155309,0.040354853,-1.6320000000000014
195006,292.6131446,0.0,3.71e-05,-209721328.2,558750127.1,-0.083861695,0.002800356,0.323965234,0.935836783,86925.92579,0.698319377,0.084655048,-1.1310000000000002
195007,295.8541105,0.0,8.24e-05,-213855150.1,517346643.1,-0.085514696,0.010432208,-0.125875245,0.471046488,86738.81259,0.711122468,0.154056139,-0.8886666666666692
195008,292.7472012,0.0,8.05e-05,-221010473.1,473523175.9,-0.08837591,0.026793918,-0.455643086,0.687429734,87047.08039,0.71072481,0.154925172,-0.9540000000000006
195009,287.0282901,1.31e-08,3.31e-05,-164314994.5,427072014.7,-0.065704972,0.007698062,0.032200934,0.652352041,87671.8349,0.687580031,0.056336431,-0.9873333333333321
195010,280.6873353,1.41e-05,1.8e-05,-85884743.06,360984912.9,-0.03434284,0.004617811,0.846628909,-0.42049595,88070.30659,0.66392672,0.019620709,-0.9830000000000005
195011,271.9733041,0.001821862,5.9e-06,-24088931.58,255482726.2,-0.009575735,0.003224626,1.918747618,-0.144734066,88119.33113,0.654729289,0.006373933,-1.1576666666666675
195012,265.3490701,0.001586707,8.72e-08,-5561624.094,226873994.0,-0.00201943,0.002687878,2.747495443,-0.289644027,88092.71985,0.652955144,0.001611943,-1.2710000000000008
195101,263.5060967,0.002937667,9.28e-07,-6171633.611,245825790.4,-0.002222458,0.002394269,1.046338644,-0.16072758,88094.39937,0.652556326,0.0030033,-1.312333333333335
195102,264.3058059,0.022661108,3.63e-06,-21323757.88,182424503.0,-0.00759506,0.002591276,0.569066431,0.389341644,87727.21391,0.653089458,0.022951786,-1.0316666666666663
195103,270.5103798,0.006173756,9.09e-06,-46479852.86,404033533.1,-0.01780694,0.003690388,1.606360665,-0.079228522,87718.76508,0.656374316,0.01025891,-0.3346666666666671
195104,278.5745391,0.00109619,1.21e-05,-78062741.12,503471610.2,-0.031160701,0.001577512,1.399535835,0.156549274,87522.38503,0.662611706,0.017588222,-0.12966666666666882
195105,288.7133288,4.7e-06,2.45e-05,-145329300.0,567750758.1,-0.058113035,0.002002702,0.456282769,0.182944773,87199.91954,0.679155309,0.048792283,0.10800000000000054
195106,295.3671619,0.0,1.36e-05,-150331132.9,611301679.2,-0.060113216,0.001557845,-0.280465935,0.943470209,86984.80151,0.698319377,0.023301346,0.13899999999999935
195107,294.6792549,0.0,5.67e-05,-198779475.3,530720195.0,-0.079486355,0.004046456,-0.358578336,1.174743853,87020.44096,0.711122468,0.111793371,0.4213333333333331
195108,293.7087826,0.0,5.92e-05,-217770658.4,482587653.6,-0.087080399,0.01144823,-0.036969937,1.283213204,87152.92913,0.71072481,0.136932428,0.18599999999999994
195109,285.6194694,5.16e-05,4.75e-05,-150787456.7,388301550.3,-0.060295217,0.010232993,0.578808546,-0.141097606,87719.76058,0.687580031,0.105293404,0.5026666666666699
195110,282.6012374,2.37e-05,4.02e-05,-98952373.9,318747019.2,-0.039567922,0.005436294,0.438998677,0.627790553,87880.05425,0.66392672,0.070882868,0.5269999999999975
195111,273.0608643,0.008605871,2.7e-05,-34450638.38,215411296.4,-0.013669485,0.003562471,1.222715636,0.198805309,88135.40036,0.654729289,0.022982039,0.6223333333333336
195112,268.1190434,0.005817852,1.92e-06,-10118733.54,214013906.8,-0.003904119,0.003545468,1.899213056,0.000561226,88162.43135,0.652955144,0.006176674,0.3490000000000002
195201,265.2105482,0.000889505,2.81e-07,-12461864.68,246247149.1,-0.004541813,0.003506083,2.107499827,-0.243518153,87970.25116,0.652556326,0.000931341,0.11766666666666836
195202,264.6093298,0.012477082,1.61e-06,-18855966.56,268193471.1,-0.006863949,0.003322562,0.699627727,-0.290614527,87952.6343,0.653119904,0.012728278,-0.0016666666666687036
195203,273.7368462,0.006587564,1.23e-05,-53758054.41,407830995.0,-0.021213987,0.003225999,0.355862884,0.379791984,87616.17951,0.656388888,0.016050861,-0.06466666666666399
195204,282.2498364,0.002977515,2.77e-05,-121501181.5,475660524.1,-0.048556947,0.002952083,1.15044407,0.602166172,87317.04012,0.662611706,0.036371774,0.0903333333333336
195205,288.0105715,7.22e-06,3.5e-05,-160533058.3,487142759.5,-0.064192775,0.003364713,0.210184741,0.723880956,87355.27902,0.679155309,0.054877609,-0.022000000000002018
195206,293.7985534,0.0,1.87e-05,-169553842.7,605347980.6,-0.06779984,0.002548514,0.237194011,0.440150935,86958.41041,0.698319377,0.042018662,-0.41100000000000136
195207,295.0003744,0.0,7.41e-05,-225734765.8,497276185.1,-0.090265023,0.011018539,-0.362302118,1.408619291,86972.86026,0.711122468,0.144264714,-0.6486666666666672
195208,291.5093198,0.0,6.68e-05,-208940133.3,444016075.6,-0.083549318,0.014256648,-0.367214229,0.751402069,87361.53464,0.71072481,0.123590528,-0.5339999999999989
195209,288.4717758,5.3e-09,4.04e-05,-147213248.0,422112847.6,-0.058866462,0.006841707,0.244810604,0.513331394,87595.46973,0.687580031,0.052330984,-0.36733333333333107
195210,279.9828523,0.000421278,1.45e-05,-94522380.81,372361570.2,-0.037786773,0.005129833,1.504211601,0.338296809,88051.8588,0.66392672,0.030838246,-0.41300000000000026
195211,271.5156837,0.036862368,3.6e-05,-29979834.67,167759630.6,-0.01165766,0.003919307,0.415002907,0.287004618,88067.60587,0.654729289,0.053277236,-0.7076666666666647
195212,257.1396325,0.002387898,7.47e-05,-7845292.58,104694945.6,-0.002773194,0.003348799,1.748331842,0.093466334,88535.91126,0.652955144,0.002429947,-0.3509999999999991
195301,260.6961415,0.002290407,7.84e-05,-20713088.25,179085114.5,-0.007337242,0.003336305,1.073151511,-0.074820742,88192.38333,0.652556326,0.002347532,0.1876666666666651
195302,265.7846965,0.008102463,6.88e-05,-24972021.45,221758084.3,-0.009237439,0.00497088,0.386298087,0.167216964,88159.42219,0.653089458,0.009059945,0.25833333333333286
195303,275.4682406,0.008924703,1.94e-05,-65833870.5,405566900.6,-0.026107453,0.003538318,0.27559087,0.446155756,87757.27943,0.656374316,0.021825012,0.3353333333333346
195304,279.4282478,0.002531035,1.48e-05,-95695712.72,523651463.9,-0.038216627,0.002714408,0.441721916,-0.604176617,87756.11354,0.662611706,0.016906151,0.33033333333333204
195305,288.1483153,0.000107418,2.71e-05,-159974963.3,589956147.9,-0.063968616,0.003577483,1.019595431,-0.546022433,87168.26246,0.679155309,0.053950627,0.46799999999999997
195306,293.7652595,0.0,2.6e-05,-159724933.9,590374838.7,-0.063869534,0.002927828,0.380315619,-0.024212606,86871.32033,0.698319377,0.044187581,0.5289999999999999
195307,296.3724975,0.0,6.12e-05,-207043334.7,526079994.9,-0.082790841,0.015547982,-0.179525507,0.643881356,86855.47307,0.711122468,0.132267848,0.2513333333333314
195308,294.0731243,0.0,8.1e-05,-189957517.1,386277574.7,-0.075958703,0.016403545,-0.945142082,1.187559608,87136.20819,0.71072481,0.159048779,0.10600000000000165
195309,287.7059218,1.25e-09,4.17e-05,-176494273.1,434105704.0,-0.070575125,0.009449619,-0.229755752,-0.059554217,87827.32441,0.687580031,0.062153332,0.28266666666667106
195310,282.8547656,0.001200062,2.67e-05,-99499865.49,320220342.0,-0.039782116,0.006191049,0.42609372,1.072394737,87925.91498,0.66392672,0.048176866,0.19699999999999918
195311,272.932675,0.010188278,2.12e-05,-34426432.15,193223172.2,-0.013563832,0.004797017,0.286580908,0.58481524,88260.39539,0.654729289,0.028384988,0.25233333333333263
195312,264.7750435,0.011692572,5.9e-06,-10791457.37,168323773.5,-0.003890903,0.004076885,1.108553108,0.430741764,88347.3006,0.652955144,0.011760203,0.43900000000000006
195401,261.9366973,0.011120572,1.19e-05,-14312354.63,151831719.5,-0.005075541,0.003829213,0.436666782,0.338835744,87762.89737,0.652556326,0.011214211,0.4276666666666671
195402,266.5808706,0.012845799,1.8e-05,-21137000.98,230758661.7,-0.007853553,0.004264514,0.002753611,0.46069385,87783.55675,0.653089458,0.014622826,0.288333333333334
195403,272.0340465,0.012077437,1.65e-05,-56629281.4,365066535.5,-0.022122737,0.004337354,0.249476113,0.422335583,87870.89638,0.656374316,0.022729839,-0.3346666666666671
195404,281.6619596,0.004297022,3.8e-05,-115253350.0,409976942.2,-0.046075811,0.00427719,0.215225116,0.811686366,87325.06879,0.662611706,0.044822225,-1.0696666666666665
195405,287.6576605,1.57e-07,3.6e-05,-187666257.2,540499522.2,-0.075042341,0.005987671,0.926414684,1.036069778,87075.27814,0.679155309,0.075090091,-0.6920000000000002
195406,291.6909915,0.0,6.08e-05,-197125327.3,517702648.1,-0.078824907,0.011166957,-0.507918756,0.930813618,86834.95552,0.698319377,0.107494499,-0.7910000000000004
195407,293.2163096,0.0,8.68e-05,-207984440.1,464547400.7,-0.083167164,0.021592094,-0.898365102,1.288695792,86759.88067,0.711122468,0.144584198,-1.0686666666666689
195408,292.2877976,0.0,0.000107713,-198302454.8,384649049.2,-0.079295609,0.08217548,-1.042363862,0.855839388,87070.14791,0.71072481,0.252527817,-1.404
195409,287.583399,0.0,5.11e-05,-169701250.6,398273397.2,-0.067858785,0.067425703,-0.039840584,0.374107554,87438.93766,0.687580031,0.093615351,-1.6073333333333295
195410,280.1350524,1.63e-05,2.91e-05,-95401312.21,344464368.3,-0.038148278,0.022258273,0.756225642,0.172092148,87997.86207,0.66392672,0.032945427,-1.4430000000000014
195411,274.7819591,0.012684666,1.76e-05,-35986990.14,224958262.9,-0.014322431,0.013485076,0.888964369,0.421497192,88003.55703,0.654729289,0.022558323,-1.057666666666666
195412,259.5431874,0.014411156,2.57e-05,-9346535.664,119332256.7,-0.003308582,0.010079187,0.735202081,0.024201137,88346.96121,0.652955144,0.014480738,-1.3009999999999984
195501,257.5982242,0.002258802,5.06e-05,-14593292.72,152737859.1,-0.005155834,0.008410638,1.42895545,-0.189377065,88410.0091,0.652556326,0.002308998,-0.9423333333333339
195502,268.2034868,0.003354541,2.02e-05,-25864393.4,269380556.0,-0.009622694,0.006902921,1.718112811,0.269653489,87509.91269,0.653089458,0.003589636,-0.9316666666666684
195503,274.426543,0.02233204,1.68e-05,-53250967.41,364806144.3,-0.021018094,0.006113891,0.198934036,0.918965725,87542.31672,0.656374316,0.032517437,-1.0146666666666668
195504,281.3871734,0.001798003,3.31e-05,-118945726.4,426727236.5,-0.047547409,0.005612541,0.146212325,0.883674683,87353.84684,0.662611706,0.038913366,-1.1096666666666657
195505,287.9053886,4.3e-05,2.86e-05,-173604768.1,551411587.7,-0.069419439,0.005651434,0.811278805,0.658835174,87141.63836,0.679155309,0.043280287,-1.152000000000001
195506,293.6375537,0.0,3.36e-05,-200478827.7,578835815.1,-0.080165877,0.007339883,0.180881424,1.039093098,86877.46705,0.698319377,0.084096003,-1.0410000000000004
195507,295.3210269,0.0,4.01e-05,-218797337.1,561844326.3,-0.087490939,0.005593538,-0.482188203,1.394426718,86830.20379,0.711122468,0.066482632,-1.0286666666666697
195508,294.608542,0.0,5.83e-05,-202143677.0,457291202.1,-0.080831608,0.014120774,-1.184620714,2.29983096,87255.37816,0.71072481,0.120130475,-1.323999999999998
195509,288.9591837,0.0,5.4e-05,-165505917.0,369226615.7,-0.06618119,0.03290058,0.258695958,1.060111801,87490.24189,0.687580031,0.159938159,-1.4473333333333294
195510,280.0134506,0.000249463,3.23e-05,-96393723.71,327427399.5,-0.038544347,0.011673325,0.344695285,0.390002679,88052.16643,0.66392672,0.051856561,-2.2630000000000017
195511,272.3574225,0.000176205,6.11e-06,-28586213.48,271919336.9,-0.011422748,0.007983305,1.420828598,-0.075011008,88121.63341,0.654729289,0.002681393,-2.3776666666666664
